group_id,group_name,n_features,nMI_mean,nMI_median,nMI_sum,perm_mean,perm_median,perm_sum,nMI_share,perm_share,perm_sum_pos,perm_share_pos
10,STFT-based Timeâ€“Frequency Dynamics (5),5,0.27665221161595754,0.2600579125747702,1.3832610580797877,0.01028830611522204,0.0007302189212725,0.0514415305761102,0.05293944833127536,0.6648427215247136,0.0521393223637691,0.5780105838357016
7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)",7,0.20136136567493446,0.1672748729728336,1.4095295597245412,0.0015071503227768492,3.747688626043466e-06,0.010550052259437944,0.053944782774430225,0.13635141446685656,0.011431359838902044,0.12672675199766667
3,Band Power Distribution (8),8,0.5505487562776327,0.5803948578314899,4.404390050221061,0.001294659905528287,0.00091633368855435,0.010357279244226296,0.16856252703169206,0.13385996962385732,0.010882425124006096,0.12064132432695394
1,Basic Time-Domain & Power Features (18),18,0.3526431612718922,0.36599308654838036,6.34757690289406,0.00017586093495978447,0.0001958344207175,0.0031654968292761203,0.24293116437907708,0.04091164285712677,0.0055763726935197,0.06181903197319926
2,Global Spectral Shape Features (6),6,0.55382156519651,0.568165468528256,3.3229293911790605,0.0005283607595415449,0.00046559168295615,0.0031701645572492694,0.12717342672611642,0.04097196969682712,0.0035175938809411693,0.0389956447579868
4,Instantaneous Frequency Features (5),5,0.4717469723268389,0.5251946657684768,2.3587348616341943,0.00041414384806616,0.0003485239839105,0.0020707192403308,0.09027227478521177,0.02676247381905208,0.0026317008591968,0.02917473571084013
8,Higher-order I/Q Stats & Circularity (6),6,0.14587573181449603,0.10389575261994866,0.8752543908869762,-9.400269612656665e-05,0.00019049683224400002,-0.0005640161767594,0.03349728117655886,-0.007289480809399314,0.0012108317347912,0.01342314257693133
11,"Extra Cyclo Lags, Chirp Curvature, DME IPIs (5)",5,0.11553490179375019,0.1025478393674384,0.5776745089687509,-0.00010126298541270771,-0.0002719199455555,-0.0005063149270635386,0.02210845858864775,-0.006543735971453353,0.0010933267119983,0.012120495289836023
9,"Inequality, Symmetry, DC Notch & Peakiness (6)",6,0.4802205819487409,0.5394938336175588,2.8813234916924455,0.00010285387005604814,0.00012034102109238263,0.0006171232203362888,0.11027251524443894,0.007975849021782706,0.0009341147874912,0.010355490044928922
5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)",4,0.1748791629855697,0.0315998999769141,0.6995166519422789,0.000143955892114725,0.0001039565690956,0.0005758235684589,0.026771537762923826,0.007442082381391606,0.0007877403291041,0.008732799485955454
6,"Narrowband Peaks, AM & Chirp Features (8)",8,0.23361581079013952,0.24382641532566227,1.8689264863211161,-0.00043798420901545,-0.00032747529925495,-0.0035038736721236,0.07152658319962753,-0.04528490661075496,0.0,0.0
